size 4
bitrates 44k	86k	125k	173k	212k	249k	315k	369k	497k	564k	764k	985k	1178k	1439k	2038k	2353k	2875k	3529k	3844k	
208645	228581	241451	255382	246282	268103	318549	364325	496038	565378	769790	995146	1190234	1454778	2060575	2378990	2906018	3567995	3887212
196332	196332	196332	196332	200158	263157	311083	385824	524633	591724	786833	1009266	1206123	1467158	2076051	2398309	2938666	3617900	3947100
223020	223020	223020	223020	235504	289757	377625	440035	583706	657414	890739	1146145	1366925	1663404	2344503	2700584	3296752	4038815	4399843
236760	236760	236760	236760	230690	274422	372493	430193	561099	635621	849976	1082038	1284854	1563966	2193636	2524143	3071090	3760451	4092455
272398	272398	272398	272398	272388	301209	400551	450518	589511	662117	889251	1135215	1356722	1653527	2330174	2686802	3268050	3991973	4340294
83350	83350	83350	83350	90568	86627	110225	117888	151157	170832	232674	300472	361577	446273	643120	744995	915603	1130659	1235436
122349	122349	122349	122349	113370	124670	153978	174839	240650	274374	377716	494746	597136	740029	1069915	1246424	1542595	1922179	2107094
220234	220234	220234	220234	208316	277703	318442	379654	541393	624000	855903	1113516	1333905	1628900	2314463	2671082	3259063	3992510	4341772
175713	175713	175713	175713	186935	225013	273255	341165	473704	533660	726510	946301	1130782	1382915	1973223	2288794	2810952	3468357	3783659
194621	194621	194621	194621	230850	278810	349407	427814	584730	659811	882946	1130839	1346894	1638985	2310345	2664584	3245625	3972892	4322236
146961	146961	146961	146961	177305	201811	247386	301657	417806	474545	642532	831213	1000714	1227689	1753218	2021776	2466225	3018160	3283350
58526	58526	58526	58526	85257	86231	135338	167414	231982	259183	350528	453657	545679	661995	937908	1075826	1306935	1587404	1724764
153069	153069	153069	153069	182072	213942	278921	319413	405124	452211	583300	722411	841509	1004124	1365236	1553734	1863483	2254693	2443760
220063	220063	220063	220063	281224	358731	434798	483426	628776	719154	971472	1254784	1501264	1839501	2593962	2988419	3635777	4430125	4810591
148428	148428	148428	148428	164854	204653	238298	280454	392601	458450	650903	860570	1039591	1281922	1836941	2141257	2651923	3310566	3632467
196436	196436	196436	196436	214588	252597	300726	355264	484426	555312	757175	975612	1170202	1434131	2041143	2359722	2886333	3544214	3860634
121612	121612	121612	121612	131185	161051	212518	247828	324573	367790	485942	614553	731530	886216	1242490	1427278	1734502	2117870	2297811
197106	197106	197106	197106	243865	288344	393327	457702	611056	694784	943795	1221368	1459131	1786741	2524501	2915884	3557076	4361929	4753150
226311	226311	226311	226311	229967	271449	324975	373990	490327	555110	746478	954152	1138416	1390993	1968294	2276074	2784190	3426779	3733991
115002	115002	115002	115002	131658	141645	167730	200045	277530	314284	419512	546604	664485	830780	1214482	1407715	1750437	2186999	2402234
10005	10005	10005	10005	11833	12916	20018	27948	43289	49920	70376	94564	116223	144506	210795	245115	303230	379573	418439
148299	148299	148299	148299	178075	186707	271872	344076	488436	547947	742388	956540	1136507	1386191	1970616	2277407	2785164	3428914	3735466
182702	182702	182702	182702	235938	247967	348365	413841	560406	629034	864456	1120936	1342472	1633842	2292737	2642686	3207331	3908410	4240504
97494	97494	97494	97494	128200	136762	177844	209905	274819	310227	421033	547303	655638	800574	1137995	1314774	1604963	1964438	2132357
136708	136708	136708	136708	158443	171049	244177	294018	408000	470371	661128	874916	1058831	1310421	1896213	2213029	2745131	3422840	3757528
157076	157076	157076	157076	245691	272158	396930	466787	629827	710810	962935	1237077	1481138	1814417	2597464	3013515	3716922	4599918	5027313
179990	179990	179990	179990	232162	227967	295043	345679	461519	516496	692884	889186	1060238	1284638	1799951	2067450	2493163	3014656	3259411
290888	290888	290888	290888	350064	427590	514375	590019	762916	859450	1126644	1426882	1686468	2034229	2815002	3217980	3873671	4678740	5063632
242341	242341	242341	242341	268009	339813	408280	466773	606105	688036	906173	1148282	1362620	1654120	2315290	2659860	3232752	3946075	4287718
271696	271696	271696	271696	287793	370520	406715	454339	594119	673025	905456	1152256	1369546	1664093	2334727	2683944	3266730	3985276	4332400
200719	200719	200719	200719	203113	249451	314909	363308	488989	563466	791592	1039040	1251523	1538152	2199401	2550314	3140581	3887431	4249269
121763	121763	121763	121763	139802	167882	198608	237972	330759	378641	514663	663909	795213	974722	1388801	1616042	1989244	2457596	2686000
179413	179413	179413	179413	181539	228273	282578	332243	450158	509884	682632	865050	1029757	1251232	1759300	2017520	2464477	3024098	3290293
53947	53947	53947	53947	83585	80491	91559	109938	162640	189624	279487	388368	486494	628727	982987	1184320	1529225	1979953	2201677
154569	154569	154569	154569	229814	238448	321393	388857	527741	585178	781758	1000782	1186442	1435564	1999737	2289757	2758599	3335587	3609226
180471	180471	180471	180471	265826	313510	443482	528367	717376	813874	1105382	1429711	1707220	2071844	2905504	3344389	4055142	4941700	5365999
239436	239436	239436	239436	263658	320901	383443	435697	568326	651143	889119	1158801	1394534	1708892	2419706	2788085	3389396	4133753	4494764
172239	172239	172239	172239	201560	252094	339330	401844	538321	611117	818214	1050530	1255598	1540147	2200265	2555360	3155113	3920085	4296010
170885	170885	170885	170885	209091	235025	276114	316096	427621	487657	654511	832031	989587	1200808	1694886	1956847	2391121	2933539	3189790
136211	136211	136211	136211	178090	203494	263277	313005	431099	490544	667606	855796	1020523	1245682	1764661	2037524	2491760	3067487	3349022
214891	214891	214891	214891	258758	291072	353155	419233	566565	644950	864485	1106593	1322034	1605687	2251645	2586611	3138014	3819472	4146775
30491	30491	30491	30491	34961	39849	50097	57940	76360	87331	116034	148395	177064	216490	310980	361563	445309	553780	604499
139205	139205	139205	139205	193841	202021	253754	300351	416873	474000	648395	833733	995914	1216807	1721292	1985213	2427664	2980984	3246597
152779	152779	152779	152779	164955	173503	211736	251710	336841	380400	508455	652525	779013	954645	1370678	1597790	1977325	2454887	2680971
147342	147342	147342	147342	196581	211038	299166	356897	492976	555232	758493	989097	1186546	1455331	2063423	2380884	2900397	3556173	3866019
207167	207167	207167	207167	297450	325651	431291	501900	658525	732616	982142	1256655	1491837	1811549	2538665	2920524	3550470	4340646	4719604
255738	255738	255738	255738	295200	363616	451193	516787	669527	750674	990089	1270150	1515558	1847741	2611179	3008436	3662098	4479199	4868879
62682	62682	62682	62682	76364	82174	101966	120417	172847	203422	300612	413420	516167	663281	1025877	1233435	1599852	2086210	2330481
133033	133033	133033	133033	171176	179451	248519	302722	431155	489857	671881	875444	1051873	1287422	1840490	2126757	2610567	3212817	3503771
21696	21696	21696	21696	168268	168165	229792	278423	389103	443555	613556	800632	961551	1177571	1673924	1938976	2370908	2908196	3167038
90383	90383	90383	90383	120677	131295	198296	244622	340391	389817	543665	705060	844778	1032059	1470041	1703781	2096388	2592856	2838188
149829	149829	149829	144552	210569	247876	373437	441319	583920	663129	890354	1146774	1360862	1658302	2327336	2675241	3242796	3942684	4277641
163033	163033	163033	167188	222207	251860	360571	425161	580953	661584	902007	1166953	1395242	1705563	2420450	2792304	3407402	4174480	4547939
35535	35535	35535	33881	49021	56653	75244	84399	107057	119961	161012	207328	248700	304748	432190	499829	611765	754582	825710
174808	174808	174808	176490	254742	285892	377663	437253	585216	659930	898471	1164322	1396516	1710559	2429680	2808073	3425970	4196162	4568289
152208	152208	152208	142458	206211	258745	359109	420725	561122	633474	848535	1088530	1301752	1598098	2286162	2659225	3286849	4093889	4480908
212828	212828	212828	234984	321933	370297	479412	555384	733819	820717	1089590	1382969	1634613	1965633	2713294	3101496	3733492	4518609	4892889
145925	145925	145925	134605	199008	226821	293374	341786	455613	514582	693153	897549	1079609	1328346	1893891	2191578	2682655	3298159	3596099
206943	206943	206943	219395	295510	337353	418680	478300	636562	717242	961707	1229079	1467411	1783469	2513768	2896458	3529011	4317388	4698609
194362	194362	194362	191985	247474	287107	358503	414373	551508	622446	827910	1061575	1268206	1546457	2185973	2523666	3090029	3792296	4130446
210596	210596	210596	225573	299895	345760	417928	481055	640367	733328	984719	1262749	1502678	1821216	2531139	2897739	3491780	4219963	4564855
248331	248331	248331	257533	300417	367747	432635	493558	649448	741695	1011913	1305881	1559764	1899110	2661613	3053588	3700910	4502948	4884052
39725	39725	39725	39899	46941	58774	63398	70839	94789	110662	154324	201582	241772	297015	415432	476782	576178	700753	759989
162400	162400	162400	162400	187664	207952	236411	276583	384690	451508	620998	808016	980478	1209699	1749544	2037653	2524218	3131915	3430728
171957	171957	171957	171957	177260	197701	229333	278985	400554	471274	664326	871205	1050916	1291685	1839983	2129662	2604713	3208147	3494234
134154	134154	134154	134154	150288	165894	221615	275824	403770	466312	659922	866641	1040933	1283114	1845188	2148629	2657880	3305552	3622715
199202	199202	199202	199202	260154	289099	370947	429776	571042	642143	873230	1125249	1340973	1630022	2299198	2648232	3218888	3928918	4267550
191891	191891	191891	191891	224071	250083	308282	361259	481212	541090	730989	937770	1122596	1368899	1924792	2204374	2665862	3232669	3497625
238231	238231	238231	238231	284577	353730	439437	507788	669827	758734	1006760	1276138	1511433	1827173	2521800	2872490	3448057	4142374	4475578
140593	140593	140593	140593	161561	206874	275448	334103	471217	548114	751580	981542	1182795	1446593	2032878	2338399	2846147	3472692	3778325
127345	127345	127345	127345	197144	232534	301515	358220	485719	552939	751395	960786	1150057	1397783	1964127	2262841	2753740	3365933	3663494
185299	185299	185299	185299	227230	271789	334342	387249	513554	585936	787423	1013835	1212949	1483476	2105246	2437900	2995450	3700286	4038838
116142	116142	116142	120356	155900	173275	234486	285632	399029	458312	624828	808262	967962	1181873	1688847	1958964	2406586	2981253	3261738
161815	161815	161815	165916	218100	230107	331142	397175	548955	618591	839619	1079128	1296490	1585638	2235329	2567453	3106117	3765742	4079491
222733	222733	222733	221860	278030	323308	406886	462932	602304	674241	897090	1151363	1371831	1673623	2373610	2740309	3349729	4118461	4483247
227402	227402	227402	225719	303212	370813	447853	511620	656092	742143	994383	1278931	1523484	1852964	2605133	2996621	3644362	4453448	4836343
187249	187249	187249	187249	220415	273787	312188	356641	460212	522040	705672	917922	1103197	1354546	1924817	2222866	2715431	3333552	3627913
150140	150140	150140	150140	188599	223167	253140	286360	380020	431387	582075	755753	914364	1127790	1620020	1874600	2299381	2840648	3099472
246136	246136	246136	246136	280560	358762	436631	496980	646985	729725	972515	1243150	1479685	1794573	2516950	2894205	3526039	4313236	4696140
51741	51741	51741	51741	52836	67505	80646	93370	126791	145675	198400	260135	313168	386130	553140	639701	780670	958061	1043077
21408	21408	21408	36738	279345	374655	452669	514288	673188	763496	1017782	1298232	1548023	1885444	2655448	3057385	3724859	4560838	4964593
203467	203467	203467	205105	215772	302590	368808	425902	566897	639931	856043	1092144	1298824	1577107	2201709	2524098	3059050	3721174	4037666
285365	285365	285365	285365	298356	414519	462997	505649	646299	725783	969688	1229312	1451176	1753895	2436687	2795441	3374266	4100547	4450876
257892	257892	257892	257892	241416	297078	333940	368863	466411	522260	690620	869165	1026240	1241792	1720858	1980314	2408143	2951635	3215551
27155	27155	27155	27155	179771	244069	284877	326444	441144	500640	660342	820171	959626	1147844	1579364	1806250	2187263	2667978	2903331
50459	50459	50459	50459	57513	76060	90837	100602	127937	141447	179709	218679	249621	291284	380941	425589	495160	579312	619810
22434	22434	22434	22434	24309	28416	36382	42146	57489	66101	89399	115203	137872	168475	240996	277946	340274	420817	460854
