size 4
bitrates 44k	86k	125k	173k	212k	564k	985k	1178k	1439k	
84549	116172	112378	120236	122390	285029	497448	592859	720767
157916	157916	157916	157916	157916	385311	652322	768666	928964
186606	186606	186606	186606	186606	365624	646888	784046	959709
147493	147493	147493	147493	147493	235175	396811	471116	571556
172288	172288	172288	172288	172288	293124	500930	598465	727501
75318	75318	75318	75318	75318	97141	184008	225118	283640
107028	107028	107028	107028	107028	261377	466909	560205	695714
102182	102182	102182	102182	102182	226555	386675	454820	553579
76393	76393	76393	76393	76393	207797	370077	446844	558575
114939	114939	114939	114939	114939	372104	635523	756350	917765
138375	138375	138375	138375	138375	299425	480631	560469	674057
108909	108909	108909	108909	108909	300772	509882	607560	734490
53793	53793	53793	53793	53793	128297	225457	268428	326375
159173	159173	159173	159173	159173	658541	1015425	1176715	1400526
116238	116238	116238	116238	116238	299784	514149	612637	744650
71166	71166	71166	71166	71166	224709	420694	517111	653152
67726	67726	67726	67726	67726	248124	452246	551294	689461
60114	60114	60114	60114	55905	201890	356799	433861	537424
56321	56321	56321	56321	61319	232770	435591	529034	660001
35567	35567	35567	35567	42789	157188	287597	349756	433134
